}Dynamic	DESC	Hour	1114	Janssens2015																					
}Trans	DESC	7.8	10.7	14	17.8	22	26.8	32.2	38.4	45.4	53.3	62.2	72.3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
}Prot	DESC	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7.8	10.7	14	17.8	22	26.8	32.2	38.4	45.4	53.3	62.2	72.3
BDH1	BDH1	0	0.021446444	0.097369928	0.194605386	0.477328667	0.472156026	0.511625295	0.795890176	0.836931892	0.897083991	0.95395285	1	0	0.02119005	0.066856881	0.145428861	0.282499916	0.500006763	0.648114152	0.802230322	0.947922409	1	0.973476537	0.847755791
GCV3	GCV3	1	0.923834131	0.860632506	0.818522771	0.79893058	0.886093945	0.961129912	0.964062619	0.541000519	0.26046126	0.028515688	0	0.154493774	0.111414831	0.077420532	0.041240414	0	0.148474514	0.335679195	0.588985491	0.868826693	0.985603017	1	0.871640636
CDC19	CDC19	1	0.860193712	0.685901525	0.489148058	0.151773802	0	0.025941822	0.551810188	0.550448215	0.485175689	0.354523883	0.1626157	0	0.058463178	0.150445734	0.302031866	0.572373056	0.743952899	0.849359172	0.888198552	0.827260175	0.896536036	0.959669011	1
FUN12	FUN12	1	0.971335592	0.913300021	0.849383287	0.679952669	0.700943187	0.71154621	0.616093995	0.66279972	0.587431394	0.393622704	0	0	0.049692619	0.131052352	0.272496412	0.53296642	0.630494229	0.82153286	0.921340836	0.716493009	0.740178378	0.824990831	1
DRS2	DRS2	0	0.290251406	0.569185643	0.814726634	1	0.945655122	0.766276283	0.567782827	0.663047993	0.718620863	0.758877812	0.73666592	0.0080506	0	0.005597423	0.025651968	0.064826278	0.204185468	0.331213514	0.474621826	0.617264331	0.807455386	0.950651243	1
TPD3	TPD3	1	0.943603776	0.892045002	0.840213898	0.81194562	0.735676736	0.705606663	0.872534444	0.765915984	0.604128103	0.35745028	0	0.589275649	0.574894361	0.582259911	0.632645924	0.77872571	0.796887506	0.873280022	0.961724329	1	0.850619381	0.541788151	0
CYS3	CYS3	1	0.851549233	0.660257802	0.453898309	0.100900374	0	0.062797582	0.497044644	0.713342229	0.760796973	0.684092632	0.402384951	1	0.961635945	0.902634359	0.805225018	0.631579813	0.54859137	0.411519625	0.314730012	0.343341256	0.248385284	0.133892808	0
NUP60	NUP60	1	0.921850609	0.820267844	0.72136102	0.530051692	0.571202341	0.64368301	0.682538773	0.71265559	0.625766327	0.411528903	0	1	0.879406	0.742251421	0.570175004	0.350511796	0.257811127	0.19722511	0.173211486	0.215905138	0.235956536	0.183878298	0
RFA1	RFA1	0.011224269	0.046288701	0.16555365	0.34289022	0.863152728	0.988518209	1	0.753675152	0.827892675	0.768185267	0.546329693	0	0	0.071850872	0.1662526	0.306599642	0.5297221	0.611249777	0.763627579	0.906425889	1	0.987960154	0.900057365	0.709447943
ADE1	ADE1	1	0.94482191	0.884353111	0.827109462	0.746307359	0.760626883	0.773735276	0.756617952	0.514083066	0.316236817	0.120891659	0	1	0.902615212	0.783981397	0.617680621	0.37369458	0.294908288	0.246388004	0.298791541	0.5342977	0.454385844	0.284022748	0
SWH1	SWH1	0.483808473	0.406379577	0.343675948	0.28394434	0.289111134	0.219864157	0.147755136	0.005287912	0	0.159418647	0.481602308	1	0	0.146888883	0.315476957	0.536412785	0.844836631	0.945284443	0.917658806	0.842378209	0.901652332	0.999994298	1	0.807714835
MIX23	MIX23	0.713575179	0.790779727	0.862872217	0.905821938	1	0.802724823	0.629802643	0.735298053	0.906900465	0.80995749	0.549880041	0	1	0.906822798	0.793120017	0.631158681	0.383683645	0.284327265	0.266137792	0.279250273	0.17279863	0.07542582	0.007871314	0
PKC1	PKC1	0.964309807	0.961107151	0.963759309	0.962781541	1	0.946033586	0.857430602	0.73884513	0.536944663	0.353901359	0.166275902	0	0.159890256	0.22121461	0.282951705	0.346012646	0.3720701	0.417836735	0.444822819	0.394806834	0.037193418	0	0.256262119	1
SFT2	SFT2	0.233296734	0.257485248	0.329246454	0.432509142	0.677430969	0.769773839	0.828203586	1	0.306211939	0.019023287	0	0.63886028	0.219406839	0.201661127	0.181338202	0.167357661	0.187514763	0	0.328826783	0.733954074	1	0.948056606	0.691748435	0.145714971
ATP1	ATP1	0.888899323	0.863339247	0.868811771	0.877759796	1	0.913875698	0.817034503	0.839081562	0.428098328	0.173197575	0	0.03663856	0	0.056274913	0.160440977	0.350404138	0.725131166	0.929262909	1	0.970332478	0.803944362	0.751804663	0.645610595	0.443977225
BNA4	BNA4	0	0.102960294	0.259681789	0.433374855	0.801274788	0.820516116	0.789200819	0.716747869	0.918280664	1	0.964019424	0.64214356	0.971462238	0.994957373	1	0.986888208	0.936912192	0.761145672	0.674351037	0.601430338	0.611253644	0.481655404	0.288804004	0
RPL32	RPL32	0.382387492	0.502095	0.544815386	0.589862069	0.363458991	0.685133632	0.834143136	0.146415744	0.806435815	1	0.848025204	0	0	0.075883789	0.180225347	0.340674444	0.606057188	0.71421246	0.897325368	1	0.869898215	0.846862671	0.823088862	0.808494015
MRP21	MRP21	0.745109798	0.830776864	0.906939031	0.940242244	1	0.766668903	0.45407356	0.082679495	0	0.012291241	0.199419048	0.620503208	0.959796227	0.99668198	1	0.971699458	0.889582536	0.537829074	0.42790164	0.346576512	0.386116848	0.293917085	0.173928474	0
RPL23A	RPL23A	0.386806167	0.419879312	0.448285034	0.480018339	0.48697905	0.538214164	0.623914873	0.81162748	1	0.943504083	0.658138035	0	1	0.994997345	0.958267681	0.870487843	0.670013888	0.494278885	0.414691649	0.314129174	0.087895527	0	0.045357081	0.311074082
