"Pathway","Genes","95%","90%","80%","70%"
"heme biosynthesis","HEM14",1,1,1,1
"salvage pathways of guanine, xanthine and their nucleosides","XPT1, HPT1",1,1,1,1
"salvage pathways of purines and their nucleosides","XPT1, HPT1, APT2, APT1, AMD1, PNP1, ADO1",0.285714285714286,0.285714285714286,0.571428571428571,0.714285714285714
"tryptophan biosynthesis","TRP5, TRP4, TRP2",0.333333333333333,0.666666666666667,0.666666666666667,1
"de novo biosynthesis of purine nucleotides","ADE16, ADE2, RNR3, ADE12, IMD4, ADE6, ADE17, RNR1, ADE8, ADK1, RNR4",0.0909090909090909,0.272727272727273,0.363636363636364,0.454545454545455
"glycolysis","TPI1, TDH3, PFK2, ENO1, TDH2, PFK1, TDH1",0.142857142857143,0.142857142857143,0.285714285714286,0.428571428571429
"salvage pathways of adenine, hypoxanthine and their nucleosides","HPT1, APT2, APT1, AMD1, PNP1, ADO1",0.166666666666667,0.166666666666667,0.5,0.666666666666667
"serine biosynthesis from 3-phosphoglycerate","SER33, SER1, SER3",0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
"tryptophan degradation via kynurenine","BNA1, BNA4, BNA6",0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667
"S-adenosylmethionine biosynthesis","SAM1, SAM2",0.5,0.5,0.5,0.5
"S-adenosylmethionine cycle","SAM1, MET6, SAM2",0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
"folate biosynthesis","GCV1, LPD1, GCV2, SHM1, SHM2, ADE3, MET12, MET13, MTD1",0,0.111111111111111,0.333333333333333,0.555555555555556
"folate interconversions","GCV1, LPD1, GCV2, SHM1, SHM2, ADE3, MET12, MET13, MTD1",0,0.111111111111111,0.333333333333333,0.555555555555556
"folate transformations","GCV1, LPD1, GCV2, SHM1, SHM2, ADE3, MET12, MET13, MTD1",0,0.111111111111111,0.333333333333333,0.555555555555556
"glycine cleavage complex","GCV1, LPD1, GCV2",0,0.333333333333333,1,1
"de novo biosynthesis of pyrimidine ribonucleotides","URA5, CPA2, CPA1, URA2, URA1, URA8",0,0.166666666666667,0.166666666666667,0.166666666666667
"lysine biosynthesis","LYS2, LYS4, LYS12, LYS20, LYS21, LYS1",0,0.166666666666667,0.333333333333333,0.333333333333333
"de novo biosynthesis of pyrimidine deoxyribonucleotides","RNR3, RNR1, RNR4",0,0.333333333333333,0.333333333333333,0.333333333333333
"sulfate assimilation pathway","MET10, MET3, MET16",0,0.333333333333333,1,1
"superpathway of histidine, purine, and pyrimidine biosynthesis","PRS5, PRS3",0,0,0.5,1
"ethanol degradation","ADH4, ADH3, ADH1",0,0,0.333333333333333,0.333333333333333
"isoleucine degradation","ADH4, ADH3, SFA1, ADH1",0,0,0.25,0.25
"leucine degradation","ADH4, ADH3, SFA1, ADH1",0,0,0.25,0.25
"phenylalanine degradation","ADH4, ARO8, ADH3, SFA1, ADH1",0,0,0.2,0.2
"superpathway of glucose fermentation","ADH4, ADH3, ADH1",0,0,0.333333333333333,0.333333333333333
"tryptophan degradation","BNA1, BNA4, ADH4, ARO8, ADH3, SFA1, BNA6, ADH1",0.125,0.25,0.375,0.375
"valine degradation","ADH4, ADH3, SFA1, ADH1",0,0,0.25,0.25
"diphthamide biosynthesis","DPH1, DPH5, DPH2",0,0,0.333333333333333,0.333333333333333
"oxidative branch of the pentose phosphate pathway","GND1, TKL1, RPE1, TAL1",0,0,0.5,0.75
"TCA cycle, aerobic respiration","IDH2, LPD1, FUM1, PYC2",0,0,0.75,0.75
"glutathione biosynthesis","GSH1, GSH2",0,0,0.5,0.5
"non-oxidative branch of the pentose phosphate pathway","TKL1, RPE1, TAL1",0,0,0.333333333333333,0.666666666666667
"2-ketoglutarate dehydrogenase complex","LPD1",0,0,1,1
"pyruvate dehydrogenase complex","LPD1, PDA1, PDB1",0,0,0.333333333333333,0.333333333333333
"arginine degradation (anaerobic)","",NA,NA,NA,NA
"gluconeogenesis","TDH3, ENO1, PYC2, TDH2, TDH1, MAE1",0,0,0.166666666666667,0.166666666666667
"glutamate biosynthesis from glutamine","GLT1",0,0,1,1
"phospholipid biosynthesis (Kennedy pathway)","",NA,NA,NA,NA
"lipid-linked oligosaccharide biosynthesis","ALG12",0,0,1,1
"sphingolipid metabolism","SUR2, LCB4, LAC1, DPL1, SCS7",0,0,0.2,0.6
"allantoin degradation","DAL3, DAL2",0,0,0,0.5
"asparagine biosynthesis","ASN2, ASN1, AAT1, AAT2",0,0,0,0.5
"folate polyglutamylation","SHM1, SHM2, ADE3, MET12, MET13, MET7",0,0,0,0.333333333333333
"glycine biosynthesis from serine","SHM1, SHM2",0,0,0,1
"serine biosynthesis from glyoxylate","SHM1, SHM2",0,0,0,1
"ergosterol biosynthesis","ERG6, ERG4, ERG2, ERG3, ERG5",0,0,0,0.2
"arginine biosynthesis","ARG1, CPA2, ARG3, CPA1, URA2, ARG4",0,0,0,0.166666666666667
"histidine biosynthesis","HIS1, HIS4, HIS3, HIS5",0,0,0,0.5
"superpathway of glutamate biosynthesis","IDP1",0,0,0,1
"methionine salvage pathway","ARO8, MRI1, UTR4",0,0,0,0
"phenylalanine biosynthesis","ARO8, ARO7",0,0,0,0
"tyrosine biosynthesis","ARO8, ARO7",0,0,0,0
"tyrosine degradation","ARO8",0,0,0,0
"mevalonate pathway","HMG2, HMG1",0,0,0,0
"fatty acid oxidation pathway","FAA3, FAA4, FAA1",0,0,0,0
"citrulline biosynthesis","CPA2, ARG3, CPA1, URA2",0,0,0,0
"inositol phosphate biosynthesis","DDP1, VIP1, SAC1",0,0,0,0
"aspartate biosynthesis","PYC2, AAT1, AAT2",0,0,0,0
"chorismate biosynthesis","ARO4, ARO3, ARO1, ARO2",0,0,0,0
"nicotinamide riboside salvage pathway II","PNP1",0,0,0,0
"nicotinate riboside salvage pathway II","PNP1",0,0,0,0
"asparagine degradation","AAT1, AAT2",0,0,0,0
"homocysteine biosynthesis","MET2",0,0,0,0
"superpathway of sulfur amino acid biosynthesis","MET2",0,0,0,0
"glutamate biosynthesis from ammonia","GDH1",0,0,0,0
"formaldehyde oxidation II (glutathione-dependent)","",NA,NA,NA,NA
"thiamine biosynthesis","THI6",0,0,0,0
"dehydro-D-arabinono-1,4-lactone biosynthesis","ALO1",0,0,0,0
"methionine biosynthesis","SAM1, MET6, SAM2, MET7",0.25,0.25,0.25,0.25
"leucine biosynthesis","LEU4, ILV6",0,0,0,0
"cysteine biosynthesis from homocysteine","CYS4, CYS3",0,0,0,0
"cysteine biosynthesis/homocysteine degradation","CYS4, CYS3",0,0,0,0
"spermidine and methylthioadenosine biosynthesis","SPE2, SPE3",0,0,0,0
"spermine and methylthioadenosine biosynthesis","SPE2",0,0,0,0
"acetoin biosynthesis","ILV6",0,0,0,0
"isoleucine biosynthesis","ILV6",0,0,0,0
"valine biosynthesis","ILV6",0,0,0,0
"proline biosynthesis","PRO1, PRO2",0,0,0,0
"de novo NAD biosynthesis","BNA6",0,0,0,0
"proline utilization","PUT1, PUT2",0,0,0,0
"dolichyl glucosyl phosphate biosynthesis","PGM1",0,0,0,0
"galactose degradation","PGM1",0,0,0,0
"glycogen biosynthesis","PGM1",0,0,0,0
"glutathione-glutaredoxin redox reactions","GLR1",0,0,0,0
"glutathione-glutaredoxin system","GLR1",0,0,0,0
"phosphatidate biosynthesis I (the dihydroxyacetone pathway)","",NA,NA,NA,NA
"phosphatidate biosynthesis II (the glycerol-3-phosphate pathway)","",NA,NA,NA,NA
"triglyceride biosynthesis","SLC1",0,0,0,0
"ubiquinone biosynthesis from 4-hydroxybenzoate","COQ5",0,0,0,0
"phospholipid biosynthesis","CKI1, CHO2, PCT1, PSD1",0,0,0.25,0.25
"glycerol biosynthesis","GPD2",0,0,0,0
"fatty acid biosynthesis, initial steps","MCT1",0,0,0,0
"glycine biosynthesis from threonine","GLY1",0,0,0,0
